# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileByIdCache.misses,1768467272272000000,1768467296038000000,0
VFS.fileByIdCache.hits,1768467272272000000,1768467296038000000,0
VFS.fileChildByName,1768467272272000000,1768467296038000000,4
VFS.folderCaseSensitivityReads,1768467272272000000,1768467296038000000,0
VFS.invertedFileNameIndex.requests,1768467272272000000,1768467296038000000,0
FilePageCache.capacityInBytes,1768467272272000000,1768467296038000000,629145600
StorageLockContext.competingThreads.90P,1768467272272000000,1768467296038000000,0
FilePageCache.maxRegisteredFiles,1768467272272000000,1768467296038000000,429
DirectByteBufferAllocator.reclaimed,1768467272272000000,1768467296038000000,43
FilePageCache.pageLoadsAboveSizeThreshold,1768467272272000000,1768467296038000000,0
DirectByteBufferAllocator.hits,1768467272272000000,1768467296038000000,3
FileChannelInterruptsRetryer.totalRetriedAttempts,1768467272272000000,1768467296038000000,0
FilePageCache.pageLoads,1768467272272000000,1768467296038000000,158
DirectByteBufferAllocator.disposed,1768467272272000000,1768467296038000000,115
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1768467272272000000,1768467296038000000,41943040
DirectByteBufferAllocator.misses,1768467272272000000,1768467296038000000,155
FilePageCache.totalPageLoadsUs,1768467272272000000,1768467296038000000,345148
FilePageCache.maxCacheSizeInBytes,1768467272272000000,1768467296038000000,162529280
FilePageCache.disposedBuffers,1768467272272000000,1768467296038000000,158
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1768467272272000000,1768467296038000000,41943040
StorageLockContext.competingThreads.max,1768467272272000000,1768467296038000000,15
FilePageCache.pageFastCacheHits,1768467272272000000,1768467296038000000,3117
StorageLockContext.competingThreads.avg,1768467272272000000,1768467296038000000,0.3333333333333333
FilePageCache.totalPageDisposalsUs,1768467272272000000,1768467296038000000,2720
FilePageCache.uncachedFileAccess,1768467272272000000,1768467296038000000,71
FilePageCache.pageHits,1768467272272000000,1768467296038000000,0
NonBlockingReadAction.finalizedExecutionsCount,1768467272272000000,1768467296038000000,21
NonBlockingReadAction.failedExecutionsCount,1768467272272000000,1768467296038000000,0
NonBlockingReadAction.failedExecutionTimeUs,1768467272272000000,1768467296038000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1768467272272000000,1768467296038000000,454678
cacheStateStorage.get.counter,1768467272272000000,1768467296038000000,9
cacheStateStorage.get.duration,1768467272272000000,1768467296038000000,0
cacheStateStorage.set.duration,1768467272272000000,1768467296038000000,27
cacheStateStorage.set.counter,1768467272272000000,1768467296038000000,7
jps.global.handle.before.change.events.ms,1768467272272000000,1768467296038000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1768467272272000000,1768467296038000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1768467272272000000,1768467296038000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1768467272272000000,1768467296038000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1768467272272000000,1768467296038000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1768467272272000000,1768467296038000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1768467272272000000,1768467296038000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1768467272272000000,1768467296038000000,0
jps.app.storage.content.writer.save.component.ms,1768467272272000000,1768467296038000000,1
